2ME Special Engineering B.V.,1671 NC
ST Marine Support,8861 CD
Staco Europe BV,5150 AD
Staco Europe BV,5150 AD
Stadhavens Medemblik B.V.,1671 HM
Stapert Watersport en Jachtbouw,9264 TW
STAR Oil Gas Power,4782 PM
Statendam Steel Plates,4900 AL
Statendam Steel Plates,4900 AL
Staveren Sales B.V.,8715 EP
STC -KNRM Offshore,3089 KP
STC BV,3024 EA
STC BV,3002 JC
STC BV,3002 JC
STC-Group Holding B.V.,3024 EA
Steeler Yachts B.V.,8331 TL
Steelhaven B.V.,6041 KG
Steenstra Shipping,8281 MR
Steigerstad,1521 PW
Stemar Engineering BV,1822 BJ
Stemat B.V.,3089 KP
Stemat BV,3089 KP
Stena Line  B.V.,3151 HS
Sterkenburg Yachting B.V.,4924 BA
Stichting Bewaarder CFL Proud,9712 AC
Stichting Jachthaven Andijk,1619 JW
Stichting Jachthaven en Camping De Helling,4101 AE
Stichting Jachthaven Huizen,1271 AL
Stichting Jachthaven Medemblik,1671 CH
Stichting Passantenhaven Terschelling,8881 GD
Stichting Zeilschip Eendracht.,3024 EA
Stoeten Motorjachten,8531 XJ
Stolt Tankers B.V.,3016 CK
Stoop Jacht-& Interieurbouw,1601 MR
Stork Technical Services Holding BV,3528 AG
Stormer Marine B.V.,1021 KB
Straaltechniek International BV,4900 AD
Straaltechniek International BV,4900 AD
Stratos,2500 GA
Stratos,2500 GA
Struik & Hamerslag B.V.,3291 CC
Struik & Hamerslag BV,3290 AA
Struik & Hamerslag BV,3290 AA
Sublub B.V.,3031 AD
Sunergon Shipping C.V.,3862 AP
Sunrise boten,1823 CL
Sunseeker Nederland B.V.,4424 BK
Super B B.V.,7554 TA
Superior Yachts International B.V.,1070 AR
Supermaritime Nederland BV,4455 RZ
Supiore B.V.,1019 AJ
Suydersee Boat Import B.V.,1165 MK
Svasek Hydraulics BV,3024 EC
t Varskip Yachtcharter,8621 CZ
T.S.S. Ambassadeur C.V.,8064 DB
T&O Duiksport,1446 WE
Talumis,3565 BE
Tarbit Tankers B.V.,3311 AW
Tarka Exploitatie B.V.,3333 GC
Task Environmental Services Worldwide BV,7825 VK
TCPM Ingenieurs & Adviseurs,7327 AD
Tech-Werk V.O.F.,3273 AG
Technautic B.V.,1521 NE
Technip -EPG BV,2909 VA
Techno Fysica BV,2993 LP
Techno Fysica BV,2990 AJ
Techno Fysica BV,2990 AJ
Technoship BV,7323 PH
Technoship BV,7323 PH
Teijin Aramid  BV,6824 BM
Temporary Works Design,3029 AK
Tenderworks B.V.,2361 KV
Terschelling Shipping C.V.,8861 NS
TESTBedrijf hiswa punt nl,1033 RA
Thamesborg Beheer B.V.,9934 CK
The 1 Yacht,8221 RC
The Boathouse,2451 VB
The Offshore Partners Holding BV,3087 AG
Theunissen Technical Trading BV,6580 AB
Theunissen Technical Trading BV,6580 AB
Thordon Bearings Inc. Netherlands Office,4926 RE
Thordon Bearings Inc. Netherlands Office,4926 RE
Thrustmaster Europe BV,2871 RM
Thrustmaster Europe BV,2871 RM
Thrustmaster Europe BV,2871 RM
Thun II B.V.,9936 BH
Thun Tankers B.V.,9936 BH
Tideway BV,4817 ZG
Tijssen Elektro Zeeland B.V.,4301 RC
Timray Marine Diesel BV,2223 LA
Tina Shipping B.V.,3335 LR
Tip Top Sailing B.V.,4797 SP
TKF,7481 KJ
TKF,7480 AA
TKF,7480 AA
TMC,5657 DC
TME BV,8042 PH
TNO Bouw en Ondergrond,3584 CB
TNO Bouw en Ondergrond,2628 VK
TNO Industrie en Techniek,7334 DT
TNO Industrie en Techniek,2628 CK
TNO Maritime & Offshore,2600 AD
TNO Maritime & Offshore,2600 AD
TNO-IMARES,1785 AJ
TON GUANXI ENTERPRISE,5283 LN
TON GUANXI ENTERPRISE,5283 LN
Top Scheepstimmerbedrijf,1436 BD
Tornado Sailing Makkum B.V.,8754 HE
TOS BV,3008 EB
TOS BV,3008 EB
TOS Offshore BV,3087 BM
Trade Navigator Shipping Company C.V.,8448 JB
Tradinco Intrumenten -Apparaten BV,2651 BD
Transafe BV,3340 AA
Transafe BV,3340 AA
Tranship B.V.,1781 AK
Transocean Coatings BV,3071 KB
Transocean Coatings BV,3071 KB
Transparts,3194 DG
Transport & Offshore Services TOS B.V.,3087 BM
Transport Maatschappij Terneuzen,4538 BK
Tree C Technology BV,6716 WC
Tree C Technology BV,6716 WC
Trelleborg Ridderkerk BV,2985 AZ
Trent Navigator Shipping Company C.V.,8448 JB
Trinoxx BV,3371 XE
Trinoxx BV,3371 XE
Trito Navigator Shipping Company C.V.,8448 JB
Triton Navigation B.V.,1077 XX
TrustLube BV,4751 XA
TrustLube BV,4797 ZG
TrustLube BV,4797 ZG
Tschudi Offshore & Towage,1975 AG
TSI Turbo Service International Netherlands,2995 BE
TSI Turbo Service International Netherlands,2995 BE
"TU Delft, Offshore Engineering",2628 CN
Uitgeestermeer Zeilschool,1911 MT
"Uittenbogaart BV, Technisch bureau",3034 KD
"Uittenbogaart BV, Technisch bureau",3034 KD
Ulstein IDEA Equipment Solutions BV,1322 CL
Ulstein Sea of Solutions,3137 XB
Ulstein Sea of Solutions,3137 XB
Ulstein Sea of Solutions BV,3137 XB
Unique Boat Design,2691 HB
United Offshore Services,4782 PX
United One,4250 DD
Unlimited Seatrade,8321 SV
USG Engineering Professionals BV,1314 CK
V-Yachting,2041 JW
v.d. Wansem Service Center,2158 LS
V.O.F. Arka-Arendshorst,8355 AG
V.o.F. de Weerd,8861 VA
V.o.F. Flevotrans,9936 GZ
V.O.F. Jachtservice De Leeuw,8528 DT
V.o.F. m.s. Lifana,9981 JB
V.o.F. Orion,8607 GX
V.o.F. Warber,8531 PP
Vaage Bulk III KS,2871 RK
Vaarbewijs Opleidingen (VBO) B.V.,5109 RE
Vaargoed Beheer B.V.,1019 CZ
VAF Instruments BV,3300 AA
VAF Instruments BV,3300 AA
Vageri Electrical & Instrumentation BV,3364 DK
"Vahali BV, Scheepswerf en Machinefabriek",6690 AA
"Vahali BV, Scheepswerf en Machinefabriek",6690 AA
Van Aalst Marine & Offshore BV,3313 LA
Van Beest BV,3361 HJ
Van Berge Henegouwen Installaties BV,2371 EV
Van Brink,3008 AM
Van Brink,3008 AM
Van Dam BV,4794 SN
Van der Helm -Hudig Rotterdam BV,3161 WD
Van der Laan Yachting B.V.,6051 LV
Van der Meer Jacht-en Scheepsservice,8606 KA
Van der Rest Nautic,4424 BK
Van der Rest Nautic B.V.,4485 PL
Van der Veer en Brinks,8064 XG
Van der Velde Coasting,9934 CK
Van der Velde Watersport,3249 AG
Van der Velden Marine Systems BV,2930 AB
Van der Velden Marine Systems BV,2930 AB
Van Gent Watersport,5331 PG
Van Grevenstein's Scheepswerf,2930 AA
Van Grevenstein's Scheepswerf,2930 AA
Van Heck BV,8391 VK
Van Heusden Watersport B.V.,3621 VC
Van Kuyk Yachting V.O.F.,6019 AA
Van Leest Scheepsbouw B.V.,2361 KZ
Van Leeuwen,3330 AA
Van Leeuwen,3330 AA
Van Leeuwen BV,3336 LE
Van Leeuwen Watersport,1531 MB
"Van Lent Shipyard BV, Royal",2159 LA
"Van Lent Shipyard BV, Royal",2159 LA
Van Leusden BV,4791 PA
Van Leusden BV,4780 LA
Van Leusden BV,4780 LA
Van Malsen Jacht-& Interieurbetimmering,8754 HA
Van Mechelen Lifting Gear BV,4661 TX
Van Oord  Shipmanagement B.V.,3063 NH
Van Oord NV,3063 NH
Van Oord Offshore BV,4207 HN
Van Thiel United BV,5741 SX
Van Veelen Industriële Verpakkingen,3088 HG
Van Veen Jachtservice Scheveningen,2583 DX
Van Voorden BV,5300 AB
Van Voorden BV,5300 AB
Van Voorden Castings BV,5301 LZ
Van Vuuren Performance Sailing,2583 DB
Van Weijen Maritime,4794 SN
Van Wijngaarden Marine Services,3361 HL
Vanclaes B.V.,2401 LP
VandeGrijp Buizen BV,3356 LJ
Vandenenden Shipyards B.V.,4261 TJ
Vanquish Yachts B.V.,7942 LB
Vantage C.V.,4251 NM
VBR Turbine Partners,6662 NE
VDL Klima BV,5600 AH
VDL Klima BV,5600 AH
Vecom Marine,3140 AA
Vecom Marine,3140 AA
Veentrans C.V.,8715 ZH
VeKa Group BV,4251 NM
VeKa Group BV,4251 NM
Veno Yachting,8064 HJ
Venturi Sailing,4401 KX
Verebus Engineering BV,2280 CA
Verebus Engineering BV,2280 CA
Verenigde Scheepswerf Heusden BV,2960 AA
Verenigde Scheepswerf Heusden BV,2960 AA
Verhaar Omega BV,2340 AC
Verhaar Omega BV,2340 AC
Verkade Shipping B.V.,9936 GZ
Vermeer Process Technology BV,3089 KC
Veth Propulsion BV,3350 AB
Veth Propulsion BV,3350 AB
Vetus B.V.,3125 BD
Victron Energy B.V.,1351 JG
Vietnam Consult & Trading BV,2517 AT
Vinkeveen Haven B.V.,3645 DT
Virage C.V.,4251 NM
Visser Yachting,5554 EP
Vitters Shipyard B.V.,8064 PD
Vlasman Jachtbetimmeringen,8606 KB
Vlieland Shipping C.V.,8861 NS
VMG Yachtbuilders,1601 ET
VMS Shipping B.V.,4251 NM
VMW Taxand NV,1019 GM
Voith Turbo BV,7391 AK
Voith Turbo BV,7390 AE
Voith Turbo BV,7390 AE
Volker Staal en Funderingen BV,3089 KP
"Volvo Penta Europe, Office Benelux",4153 RD
"Voogt Naval Architects, de",2000 GE
"Voogt Naval Architects, de",2000 GE
"Vooruit BV, Scheepswerf",1505 HE
"Vooruit BV, Scheepswerf",1505 HE
VOSTA LMG,1030 AD
VOSTA LMG,1030 AD
VoTech Filter BV,6065 BN
VPG Scheepsservice BV,6541 CS
VPG Scheepsservice BV,6541 CS
"Vreeswijk, Museumwerf",3430 BD
"Vreeswijk, Museumwerf",3430 BD
Vri-Jon Holding B.V.,8376 HL
"Vries Scheepsbouw Makkum BV, de",8754 ZN
"Vries Scheepsbouw Makkum BV, de",8754 ZN
"Vries, de Scheepsbouw BV Koninklijke",1430 AG
"Vries, de Scheepsbouw BV Koninklijke",1430 AG
Vripack Yachting International Naval Architects,8606 KC
Vroon B.V.,4510 AA
Vroon Offshore Services B.V.,1781 AK
Vroon Offshore Services BV,1781 AK
Vroon Ship Management B.V. Terneuzen,4538 AA
Vryhof Anchors BV,2901 LB
VSH Fittings BV,1200 AL
VSH Fittings BV,1200 AL
VSL BV,2629 JA
Vuyk Engineering Rotterdam BV,2905 AX
Vuyk Engineering Rotterdam BV,2900 AA
Vuyk Engineering Rotterdam BV,2900 AA
Vyva Fabrics,1175 RH
W. Tijsterman & Zn,2421 BC
W.E.C. Lines B.V.,3088 GB
W.K.M. Cornelisse Trading BV,4200 AC
W.K.M. Cornelisse Trading BV,4200 AC
W.S.B. De Arne,4341 PZ
W.S.C. 't Oude Maasje,5165 PV
W.S.C. De Brekken B.V.,8531 PM
W.S.C. De Ulepanne,8561 HA
W.S.C. de Zeilhoek B.V.,1145 PM
W.S.C. Hart van Friesland,8624 TG
W.S.C. Maasbommel,6627 KS
W.S.C. Vlietland,2266 BM
W&O Europe,4612 RC
W&O Europe,4612 RC
Waddenhaven Texel,1792 AE
Waddeninzicht,9101 LA
Wagenborg Foxdrill,7575 EK
Wagenborg Kazakhstan BV,9934 CK
Wagenborg Offshore B.V.,9934 CK
Wagenborg Shipowners B.V.,9934 CK
Wagenborg Shipping B.V.,9934 CK
Wagenborg Sleepdienst B.V.,9934 CK
Wajer & Wajer Yachts B.V.,8621 DV
Wärtsilä Netherlands BV,3115 HD
Wärtsilä Netherlands BV,8017 JE
Wärtsilä Netherlands BV,8017 JE
Water Weights Europe BV,3364 AE
Waterdrinker Offshore Consult,1851 HP
Waterfront Jachtcharter,4484 NV
Waterpark Beulaeke Haven,7946 LX
Waterpark De Bloemert,9475 TG
Waterpark Terherne,8493 LR
Waterrecreatie Zoutkamp,9974 PC
Waterspoor Jachtcharter,8723 AZ
Watersport 's-Hertogenbosch B.V.,5231 XA
Watersport 't Lamgat,4741 SN
Watersport Academy & Groepsaccommodatie De Kaag,2159 LE
Watersport en Recreatie Camping De Jerden,8556 XC
Watersport K. Kokernoot,1505 HJ
Watersport Service Crezee B.V.,4926 SJ
Watersport Service Happy on Water,5431 SJ
Watersport T.H.M.,4486 PN
Watersport.live,5324 EJ
Watersportbedrijf Anja,9001 BG
Watersportbedrijf De Lits,9261 VM
Watersportbedrijf de Otter,1231 LT
Watersportcentrum 't Garijp,8511 AB
Watersportcentrum Braassemermeer,2377 AE
Watersportcentrum De Rietpol,2063 KA
Watersportcentrum Tacozijl,8531 PE
WatersportReus,1614 MD
Watersportschool Frissen,6041 TR
Watersportservice Berend Mink V.O.F.,9001 XV
Watum Solutions BV,9936 GA
Watum Solutions BV,9936 GA
Wavin Nederland BV,7770 AA
Wavin Nederland BV,7770 AA
WDH Hydraulics,5520 AA
WDH Hydraulics,5520 AA
Weatherford Elastomers,3133 KJ
Weatherford Oil Tool Nederland BV,1786 PC
Webasto Thermo & Comfort Benelux,8263 BC
Webbink Recreatie Holding B.V.,7946 LX
WEG Benelux,7575 DB
Wellekom Watersport,8551 RK
Werf de Chinook,1976 CS
Werkendam Shipping Company B.V.,2224 JV
West Coast International Drilling Supply BV,1948 NR
West End Marina,1231 PD
West Yachting B.V.,8711 GX
West Yachting Zuid B.V.,4797 SN
WestHolland Foreign Investment Agency,2595 AM
Wetering Rotterdam,3089 KC
Wetering Rotterdam,3089 KC
Whaly Boats,5121 DK
Whisper Power BV,9207 JB
Whitney Bay Shipping Company B.V.,9728 JS
Wiersma Yachting B.V.,3812 PB
Wika Benelux,6101 WX
Wildeboer Punterwerf,8355 AJ
Wilhelmsen Ship Service,3008 PC
Wilhelmsen Ship Service,3008 PC
Willis B.V.,1101 BE
Willtéco BV,1721 PP
Wim van der Valk B.V.,5145 PD
Wim van der Valk Beheer B.V.,5145 PD
Windcat Workboats BV,1976 CC
Windekind B.V.,8531 RJ
Winmag,9673 CX
Winmag,9673 CX
Winner Yachts,1671 GD
Winteb BV,9670 AD
Winteb BV,9670 AD
Winteb VOF,9672 AW
Winters Watersport B.V.,7946 LM
Wishful Sailing,3844 DG
WNL Marine Electronics BV,1976 CC
WNL Marine Electronics BV,1976 CC
Wobbegong,3822 EJ
Wolfard & Wessels Werktuigbouw BV,9600 AE
Wolfard & Wessels Werktuigbouw BV,9600 AE
Wolfrat Jachtmakelaardij,1231 LV
Work Wise BV,2905 AX
Workfox BV,2132 LS
Workships Group BV,3062 MB
Workumer Jachthaven,8711 CH
Worldwide Portable Machining BV,3341 LT
Worldwide Portable Machining BV,3341 LT
WorldWise Marine Holding BV,1975 AG
"Wout Liezen BV, Scheepswerf",7942 HR
"Wout Liezen BV, Scheepswerf",7942 HR
Wouter Witzel Eurovalve BV,7580 AB
Wouter Witzel Eurovalve BV,7580 AB
WRS Marine Inspections and Services B.V.,2987 VD
WRS Marine Inspections and Services B.V.,2987 VD
WT Shipping B.V.,9471 BK
WTC Twente Energy Group,7551 CA
WTS Energy BV,2514 AN
X-Craft Performance Rib's & Suspension Seats,1689 AN
X-Yachts Holland B.V.,1361 AA
Xelvin Jacht-en Scheepsbouw BV,8305 BM
Xelvin Jacht-en Scheepsbouw BV,8305 BM
XO Boats,1019 AJ
Yacht Centre Warns,8722 HP
Yacht Colors B.V.,3821 BR
Yacht Service Visser,1141 GA
Yacht-Gallery,8064 PN
Yachtbrokers Loosdrecht,1231 PD
Yachtcharter 2000,8441 RC
Yachtcharter De Brekken B.V.,8531 PM
Yachtcharter De Waarheid,3295 SM
Yachtcharter Huibers,4143 GA
Yachtcharter Sneek,8606 KD
Yachtcharter Urk,8321 MH
Yachtcharter Westerdijk,9264 TJ
Yachtcharter Wetterwille,8493 RG
YachtcleanerY,1628 TM
Yachtexpertise,3645 AJ
Yachts4U Yachtcharter,8484 KK
Yachtservice it Ges,8606 JZ
Yachtservice Van Swaay B.V.,4310 AA
Yamaha Motor Nederland B.V.,1119 NC
Yanmar Benelux B.V.,1332 BS
Yanmar Europe BV,1303 AC
Yanmar Europe BV,1303 AC
Yogi Exploitatie B.V.,3333 GC
Younique Yachts,8747 NR
Zaadnoordijk Watersport B.V.,1911 MT
Zaadnoordijk Yachtbuilders,8441 PK
Zealand Almere B.V.,1339 NB
Zealand Amalia B.V.,1339 NB
Zealand Amsterdam B.V.,1339 NB
Zealand Juliana B.V.,1339 NB
Zealand Maxima B.V.,1339 NB
Zealand Rotterdam B.V.,1339 NB
Zealand Shipping B.V.,1339 NB
Zeelander Yachts B.V.,2964 GB
Zeelandschilder,4694 BX
Zeerederij Holland-Limburg B.V.,9728 JS
Zeil-en Surfschool Neptunus,8523 NJ
Zeilcentrum Allemansend,8581 KG
Zeilinstituut De Bird,8621 JX
Zeilschool 't Stekelbaarsje,8581 KG
Zeilschool Aalsmeer,1433 GK
Zeilschool De Kikkert,8531 PV
Zeilschool De Morra,8584 VC
Zeilschool De Stipe,8561 AV
Zeilschool De Veenhoop,9215 VV
Zeilschool De Viking B.V.,4471 NG
Zeilschool De Vuntus,1231 NX
Zeilschool Hellevoetsluis,3221 LT
Zeilschool Het Veerse Gat,4351 RT
Zeilschool Midden Nederland Loosdrecht,1231 LX
Zeilschool Op De Helling,8621 CV
Zeilschool Waterland,1141 GA
Zeilschool Zuidlaardermeer,9475 TG
Zephyr Shipping LTD,8860 AA
ZF Marine Krimpen,2930 AA
ZF Marine Krimpen,2930 AA
Zijldijk Botenstalling,2362 AE
Zijlstra International Decoration B.V.,1906 NW
Zinder Boats B.V.,3818 GM
Zomerschoe Service SOS,6626 BA
Zuidwaard Yachtservice B.V.,8754 HA
Zwagers Boating,7942 LB
Zwartbol Advocaten BV,2950 AC
Zwartbol Advocaten BV,2950 AC
Zwemer Watersport B.V.,4493 MT
